chr	pos	f_1	f_2	diff_f	type	start	end	atrribute	description	ncbi_id	vectorbase_id	orthodb_id	uniprot_id	GOs_id	GOs_description	interpro_id	interpro_description
NW_001886704.1	300001	0.40646595331483	0.550911568879862	-0.144445615565032	gene	373813	373886	ID=gene22166;Dbxref=VectorBase:CPIJ020672,GeneID:6031190;Name=CpipJ_CPIJ020672;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020672	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031190	CPIJ020672		A0A0F7J4J8	GO:0004477, GO:0004488, GO:0000105, GO:0009086, GO:0006164, GO:0035999	F:methenyltetrahydrofolate cyclohydrolase activity; F:methylenetetrahydrofolate dehydrogenase (NADP+) activity; P:histidine biosynthetic process; P:methionine biosynthetic process; P:purine nucleotide biosynthetic process; P:tetrahydrofolate interconversion	IPR036291, IPR000672, IPR020630, IPR020867, IPR020631	NAD(P)-bd_dom_sf.; THF_DH/CycHdrlase.; THF_DH/CycHdrlase_cat_dom.; THF_DH/CycHdrlase_CS.; THF_DH/CycHdrlase_NAD-bd_dom.
NW_001886704.1	300001	0.40646595331483	0.550911568879862	-0.144445615565032	gene	383895	394969	ID=gene22167;Dbxref=VectorBase:CPIJ000362,GeneID:6031191;Name=CpipJ_CPIJ000362;end_range=394969,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000362;partial=true;start_range=.,383895	actin binding protein [Culex quinquefasciatus (southern house mosquito)]	6031191	CPIJ000362	7421at7157	B0VZZ8	GO:0005856, GO:0003779, GO:0030036	C:cytoskeleton; F:actin binding; P:actin cytoskeleton organization	IPR028288, IPR003124	SCAR/WAVE_fam.; WH2_dom.
NW_001886704.1	1000001	0.393109572685115	0.540327331431237	-0.147217758746122	gene	1010303	1010372	ID=gene22193;Dbxref=VectorBase:CPIJ020692,GeneID:6031217;Name=CpipJ_CPIJ020692;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020692	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031217	CPIJ020692		A0A0F7J708	GO:0003677, GO:0003700	F:DNA binding; F:DNA-binding transcription factor activity	IPR005119, IPR000847, IPR036388, IPR036390	LysR_subst-bd.; Tscrpt_reg_HTH_LysR.; WH-like_DNA-bd_sf.; WH_DNA-bd_sf.
NW_001886704.1	1000001	0.393109572685115	0.540327331431237	-0.147217758746122	gene	1045257	1066656	ID=gene22194;Dbxref=VectorBase:CPIJ000381,GeneID:6031218;Name=CpipJ_CPIJ000381;end_range=1066656,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000381;partial=true;start_range=.,1045257	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031218	CPIJ000381	8816at7157	A0A3Y1CB18				
NW_001886704.1	1000001	0.393109572685115	0.540327331431237	-0.147217758746122	gene	1078403	1084178	ID=gene22195;Dbxref=VectorBase:CPIJ000382,GeneID:6031219;Name=CpipJ_CPIJ000382;end_range=1084178,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000382;partial=true;start_range=.,1078403	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031219	CPIJ000382	22062at7157	B0W018				
NW_001886704.1	1000001	0.393109572685115	0.540327331431237	-0.147217758746122	gene	1086054	1096427	ID=gene22196;Dbxref=VectorBase:CPIJ000383,GeneID:6031220;Name=CpipJ_CPIJ000383;end_range=1096427,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000383;partial=true;start_range=.,1086054	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031220	CPIJ000383	4278at7157	B0W019	GO:0030014, GO:0046872, GO:0003723, GO:0004842	C:CCR4-NOT complex; F:metal ion binding; F:RNA binding; F:ubiquitin-protein transferase activity	IPR034261, IPR039780, IPR039515, IPR012677, IPR035979, IPR000504, IPR003954, IPR000571, IPR001841, IPR013083	CNOT4_RRM.; Mot2.; NOT4_mRING-HC-C4C4.; Nucleotide-bd_a/b_plait_sf.; RBD_domain_sf.; RRM_dom.; RRM_dom_euk.; Znf_CCCH.; Znf_RING.; Znf_RING/FYVE/PHD.
NW_001886705.1	1	0.253266297874647	0.477332479202124	-0.224066181327477	gene	1786	10844	ID=gene22021;Dbxref=VectorBase:CPIJ000435,GeneID:6031416;Name=CpipJ_CPIJ000435;end_range=10844,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000435;partial=true;start_range=.,1786	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031416	CPIJ000435		B0W071	GO:0042800	F:histone methyltransferase activity (H3-K4 specific)	IPR001214	SET_dom.
NW_001886705.1	1	0.253266297874647	0.477332479202124	-0.224066181327477	gene	65462	66113	ID=gene22022;Dbxref=VectorBase:CPIJ000436,GeneID:6031285;Name=CpipJ_CPIJ000436;end_range=66113,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000436;partial=true;start_range=.,65462	serine protease [Culex quinquefasciatus (southern house mosquito)]	6031285	CPIJ000436	16953at7157	B0W072	GO:0030246, GO:0008233	F:carbohydrate binding; F:peptidase activity	IPR001304, IPR016186, IPR018378, IPR016187	C-type_lectin-like.; C-type_lectin-like/link_sf.; C-type_lectin_CS.; CTDL_fold.
NW_001886705.1	1	0.253266297874647	0.477332479202124	-0.224066181327477	gene	67040	67739	ID=gene22023;Dbxref=VectorBase:CPIJ000437,GeneID:6031286;Name=CpipJ_CPIJ000437;end_range=67739,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000437;partial=true;start_range=.,67040	serine protease [Culex quinquefasciatus (southern house mosquito)]	6031286	CPIJ000437		B0W073	GO:0008233	F:peptidase activity	IPR001304, IPR016186, IPR018378, IPR016187	C-type_lectin-like.; C-type_lectin-like/link_sf.; C-type_lectin_CS.; CTDL_fold.
NW_001886705.1	1	0.253266297874647	0.477332479202124	-0.224066181327477	gene	77330	77967	ID=gene22024;Dbxref=VectorBase:CPIJ000438,GeneID:6031287;Name=CpipJ_CPIJ000438;end_range=77967,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000438;partial=true;start_range=.,77330	serine protease [Culex quinquefasciatus (southern house mosquito)]	6031287	CPIJ000438	18410at7157	B0W074	GO:0030246, GO:0008233	F:carbohydrate binding; F:peptidase activity	IPR001304, IPR016186, IPR018378, IPR016187	C-type_lectin-like.; C-type_lectin-like/link_sf.; C-type_lectin_CS.; CTDL_fold.
NW_001886705.1	1	0.253266297874647	0.477332479202124	-0.224066181327477	gene	81936	82009	ID=gene22025;Dbxref=VectorBase:CPIJ020751,GeneID:6031289;Name=CpipJ_CPIJ020751;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020751	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031289	CPIJ020751		A0A1U7FLX7	GO:0016021, GO:0005886, GO:0070469, GO:0005507, GO:0008827, GO:0004129	C:integral component of membrane; C:plasma membrane; C:respirasome; F:copper ion binding; F:cytochrome o ubiquinol oxidase activity; F:cytochrome-c oxidase activity	IPR002429, IPR010514, IPR008972, IPR034227, IPR011759, IPR036257, IPR006333	CcO_II-like_C.; COX_ARM.; Cupredoxin.; CuRO_UO_II.; Cyt_c_oxidase_su2_TM_dom.; Cyt_c_oxidase_su2_TM_sf.; Cyt_o_ubiquinol_oxidase_su2.
NW_001886705.1	1	0.253266297874647	0.477332479202124	-0.224066181327477	gene	87552	92577	ID=gene22026;Dbxref=VectorBase:CPIJ000440,GeneID:6031290;Name=CpipJ_CPIJ000440;end_range=92577,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000440;partial=true;start_range=.,87552	serine protease [Culex quinquefasciatus (southern house mosquito)]	6031290	CPIJ000440	9191at7157	B0W076	GO:0030246, GO:0004252	F:carbohydrate binding; F:serine-type endopeptidase activity	IPR001304, IPR016186, IPR018378, IPR016187, IPR009003, IPR001314, IPR001254	C-type_lectin-like.; C-type_lectin-like/link_sf.; C-type_lectin_CS.; CTDL_fold.; Peptidase_S1_PA.; Peptidase_S1A.; Trypsin_dom.
NW_001886705.1	1	0.253266297874647	0.477332479202124	-0.224066181327477	gene	94143	99339	ID=gene22027;Dbxref=VectorBase:CPIJ000443,GeneID:6031293;Name=CpipJ_CPIJ000443;end_range=99339,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000443;partial=true;start_range=.,94143	galactose-specific C-type lectin [Culex quinquefasciatus (southern house mosquito)]	6031293	CPIJ000443	17164at7157	B0W079	GO:0030246	F:carbohydrate binding	IPR001304, IPR016186, IPR018378, IPR016187	C-type_lectin-like.; C-type_lectin-like/link_sf.; C-type_lectin_CS.; CTDL_fold.
NW_001886705.1	1500001	0.3181118834096	0.497683390541305	-0.179571507131705	gene	1523466	1526269	ID=gene22102;Dbxref=VectorBase:CPIJ000509,GeneID:6031368;Name=CpipJ_CPIJ000509;end_range=1526269,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000509;partial=true;start_range=.,1523466	adenosine kinase [Culex quinquefasciatus (southern house mosquito)]	6031368	CPIJ000509	9043at7157	B0W0E5	GO:0016301, GO:0016773	F:kinase activity; F:phosphotransferase activity, alcohol group as acceptor	IPR002173, IPR011611, IPR029056	Carboh/pur_kinase_PfkB_CS.; PfkB_dom.; Ribokinase-like.
NW_001886705.1	1500001	0.3181118834096	0.497683390541305	-0.179571507131705	gene	1530537	1530920	ID=gene22103;Dbxref=VectorBase:CPIJ000510,GeneID:6031369;Name=CpipJ_CPIJ000510;end_range=1530920,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000510;partial=true;start_range=.,1530537	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031369	CPIJ000510	19230at7157	A0A3U8HMT5				
NW_001886705.1	1500001	0.3181118834096	0.497683390541305	-0.179571507131705	gene	1531094	1531900	ID=gene22104;Dbxref=VectorBase:CPIJ000511,GeneID:6031370;Name=CpipJ_CPIJ000511;end_range=1531900,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000511;partial=true;start_range=.,1531094	sepiapterin reductase [Culex quinquefasciatus (southern house mosquito)]	6031370	CPIJ000511	12326at7157	B0W0E7	GO:0004757, GO:0006729	F:sepiapterin reductase activity; P:tetrahydrobiopterin biosynthetic process	IPR036291, IPR002347, IPR006393	NAD(P)-bd_dom_sf.; SDR_fam.; Sepiapterin_red.
NW_001886705.1	1500001	0.3181118834096	0.497683390541305	-0.179571507131705	gene	1534945	1535593	ID=gene22105;Dbxref=VectorBase:CPIJ000512,GeneID:6031371;Name=CpipJ_CPIJ000512;end_range=1535593,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000512;partial=true;start_range=.,1534945	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031371	CPIJ000512	18514at7157	A0A3Y9BTC1				
NW_001886705.1	1500001	0.3181118834096	0.497683390541305	-0.179571507131705	gene	1536214	1540763	ID=gene22106;Dbxref=VectorBase:CPIJ000513,GeneID:6031372;Name=CpipJ_CPIJ000513;end_range=1540763,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000513;partial=true;start_range=.,1536214	nuclear pore complex protein Nup155 [Culex quinquefasciatus (southern house mosquito)]	6031372	CPIJ000513		B0W0E9	GO:0005643, GO:0017056	C:nuclear pore; F:structural constituent of nuclear pore	IPR007187, IPR014908, IPR004870, IPR036322	Nucleoporin_Nup133/Nup155_C.; Nucleoporin_Nup133/Nup155_N.; Nucleoporin_Nup155.; WD40_repeat_dom_sf.
NW_001886705.1	1500001	0.3181118834096	0.497683390541305	-0.179571507131705	gene	1545416	1565200	ID=gene22107;Dbxref=VectorBase:CPIJ000514,GeneID:6031373;Name=CpipJ_CPIJ000514;end_range=1565200,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000514;partial=true;start_range=.,1545416	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031373	CPIJ000514	3244at7157	A0A379WHX2	GO:0016787	F:hydrolase activity	IPR029058, IPR013094, IPR033140	AB_hydrolase.; AB_hydrolase_3.; Lipase_GDXG_put_SER_AS.
NW_001886705.1	1500001	0.3181118834096	0.497683390541305	-0.179571507131705	gene	1572148	1584271	ID=gene22108;Dbxref=VectorBase:CPIJ000515,GeneID:6031374;Name=CpipJ_CPIJ000515;end_range=1584271,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000515;partial=true;start_range=.,1572148	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031374	CPIJ000515		A0A2T5MSH2	GO:0006355	P:regulation of transcription, DNA-templated	IPR013321, IPR002145	Arc_rbn_hlx_hlx.; CopG.
NW_001886705.1	1500001	0.3181118834096	0.497683390541305	-0.179571507131705	gene	1510569	1515736	ID=gene22101;Dbxref=VectorBase:CPIJ000508,GeneID:6031367;Name=CpipJ_CPIJ000508;end_range=1515736,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000508;partial=true;start_range=.,1510569	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031367	CPIJ000508		B0W0E4				
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	510053	511247	ID=gene21937;Dbxref=VectorBase:CPIJ000681,GeneID:6031441;Name=CpipJ_CPIJ000681;end_range=511247,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000681;partial=true;start_range=.,510053	obstractor B [Culex quinquefasciatus (southern house mosquito)]	6031441	CPIJ000681	13474at7157	B0W0L2	GO:0005576, GO:0008061, GO:0006030	C:extracellular region; F:chitin binding; P:chitin metabolic process	IPR002557, IPR036508	Chitin-bd_dom.; Chitin-bd_dom_sf.
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	511836	511909	ID=gene21938;Dbxref=VectorBase:CPIJ020951,GeneID:6031442;Name=CpipJ_CPIJ020951;gbkey=Gene;gene_biotype=tRNA;locus_tag=CpipJ_CPIJ020951	tRNA [Culex quinquefasciatus (southern house mosquito)]	6031442	CPIJ020951		A0A0Q9YR60	GO:0005737, GO:0003677, GO:0003700, GO:0009086, GO:0045892	C:cytoplasm; F:DNA binding; F:DNA-binding transcription factor activity; P:methionine biosynthetic process; P:negative regulation of transcription, DNA-templated	IPR002084, IPR023453, IPR010985	Met_repressor_MetJ.; Met_repressor_MetJ_dom_sf.; Ribbon_hlx_hlx.
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	522698	528346	ID=gene21939;Dbxref=VectorBase:CPIJ000682,GeneID:6031443;Name=CpipJ_CPIJ000682;end_range=528346,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000682;partial=true;start_range=.,522698	hypothetical protein [Culex quinquefasciatus (southern house mosquito)]	6031443	CPIJ000682	11805at7157	B0W0L3	GO:0005576, GO:0008061, GO:0006030	C:extracellular region; F:chitin binding; P:chitin metabolic process	IPR002557, IPR036508	Chitin-bd_dom.; Chitin-bd_dom_sf.
NW_001886706.1	500001	0.316865894073544	0.509647842735169	-0.192781948661625	gene	529307	536572	ID=gene21940;Dbxref=VectorBase:CPIJ000683,GeneID:6031444;Name=CpipJ_CPIJ000683;end_range=536572,.;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CpipJ_CPIJ000683;partial=true;start_range=.,529307	actin [Culex quinquefasciatus (southern house mosquito)]	6031444	CPIJ000683	6901at7157	B0W0L4	GO:0005885, GO:0005737, GO:0003779, GO:0005524, GO:0034314	C:Arp2/3 protein complex; C:cytoplasm; F:actin binding; F:ATP binding; P:Arp2/3 complex-mediated actin nucleation	IPR004000, IPR020902, IPR027306	Actin.; Actin/actin-like_CS.; Arp2.
